tradeday,account,ticker,quantity
2017-07-13,XLIN01,EBAY,4.0
2017-07-13,XLIN01,INTU,1.0
2017-07-13,XLIN01,JD,10.0
2017-07-13,XLIN01,KO,10.0
2017-07-13,XLIN01,KR,45.0
2017-07-13,XLIN01,TWTR,9.0
2017-07-14,XLIN01,EBAY,10.0
2017-07-14,XLIN01,INTU,2.0
2017-07-14,XLIN01,JD,10.0
2017-07-14,XLIN01,KO,14.0
2017-07-14,XLIN01,KR,45.0
2017-07-14,XLIN01,TWTR,9.0
2017-07-17,XLIN01,EBAY,10.0
2017-07-17,XLIN01,INTU,2.0
2017-07-17,XLIN01,JD,10.0
2017-07-17,XLIN01,KO,14.0
2017-07-17,XLIN01,KR,45.0
2017-07-17,XLIN01,TWTR,9.0
2017-07-18,XLIN01,EBAY,10.0
2017-07-18,XLIN01,INTU,2.0
2017-07-18,XLIN01,JD,10.0
2017-07-18,XLIN01,KO,14.0
2017-07-18,XLIN01,KR,45.0
2017-07-18,XLIN01,TWTR,9.0
2017-07-19,XLIN01,EBAY,10.0
2017-07-19,XLIN01,INTU,2.0
2017-07-19,XLIN01,JD,10.0
2017-07-19,XLIN01,KO,14.0
2017-07-19,XLIN01,KR,45.0
2017-07-19,XLIN01,TWTR,9.0
2017-07-20,XLIN01,EBAY,10.0
2017-07-20,XLIN01,INTU,2.0
2017-07-20,XLIN01,JD,10.0
2017-07-20,XLIN01,KO,14.0
2017-07-20,XLIN01,KR,45.0
2017-07-20,XLIN01,TWTR,9.0
2017-07-21,XLIN01,EBAY,10.0
2017-07-21,XLIN01,INTU,2.0
2017-07-21,XLIN01,JD,10.0
2017-07-21,XLIN01,KO,14.0
2017-07-21,XLIN01,KR,45.0
2017-07-21,XLIN01,TWTR,9.0
2017-07-24,XLIN01,EBAY,10.0
2017-07-24,XLIN01,INTU,2.0
2017-07-24,XLIN01,JD,10.0
2017-07-24,XLIN01,KO,14.0
2017-07-24,XLIN01,KR,45.0
2017-07-24,XLIN01,TWTR,9.0
2017-07-25,XLIN01,EBAY,10.0
2017-07-25,XLIN01,INTU,2.0
2017-07-25,XLIN01,JD,10.0
2017-07-25,XLIN01,KO,14.0
2017-07-25,XLIN01,KR,45.0
2017-07-25,XLIN01,TWTR,9.0
2017-07-26,XLIN01,EBAY,10.0
2017-07-26,XLIN01,INTU,2.0
2017-07-26,XLIN01,JD,10.0
2017-07-26,XLIN01,KO,14.0
2017-07-26,XLIN01,KR,45.0
2017-07-26,XLIN01,TWTR,9.0
2017-07-27,XLIN01,EBAY,10.0
2017-07-27,XLIN01,INTU,2.0
2017-07-27,XLIN01,JD,10.0
2017-07-27,XLIN01,KO,14.0
2017-07-27,XLIN01,KR,45.0
2017-07-27,XLIN01,TWTR,9.0
2017-07-28,XLIN01,EBAY,10.0
2017-07-28,XLIN01,INTU,2.0
2017-07-28,XLIN01,JD,10.0
2017-07-28,XLIN01,KO,14.0
2017-07-28,XLIN01,KR,45.0
2017-07-28,XLIN01,TWTR,9.0
2017-07-31,XLIN01,EBAY,10.0
2017-07-31,XLIN01,INTU,2.0
2017-07-31,XLIN01,JD,10.0
2017-07-31,XLIN01,KO,14.0
2017-07-31,XLIN01,KR,45.0
2017-07-31,XLIN01,TWTR,29.0
2017-08-01,XLIN01,EBAY,10.0
2017-08-01,XLIN01,INTU,2.0
2017-08-01,XLIN01,JD,10.0
2017-08-01,XLIN01,KO,14.0
2017-08-01,XLIN01,KR,45.0
2017-08-01,XLIN01,TWTR,29.0
2017-08-02,XLIN01,EBAY,10.0
2017-08-02,XLIN01,INTU,2.0
2017-08-02,XLIN01,JD,10.0
2017-08-02,XLIN01,KO,14.0
2017-08-02,XLIN01,KR,45.0
2017-08-02,XLIN01,TWTR,29.0
2017-08-03,XLIN01,CMG,1.0
2017-08-03,XLIN01,EBAY,10.0
2017-08-03,XLIN01,INTU,2.0
2017-08-03,XLIN01,JD,10.0
2017-08-03,XLIN01,KO,14.0
2017-08-03,XLIN01,KR,45.0
2017-08-03,XLIN01,TWTR,29.0
2017-08-04,XLIN01,CMG,1.0
2017-08-04,XLIN01,EBAY,10.0
2017-08-04,XLIN01,INTU,2.0
2017-08-04,XLIN01,JD,10.0
2017-08-04,XLIN01,KO,14.0
2017-08-04,XLIN01,KR,45.0
2017-08-04,XLIN01,TWTR,29.0
2017-08-07,XLIN01,CMG,1.0
2017-08-07,XLIN01,EBAY,10.0
2017-08-07,XLIN01,INTU,2.0
2017-08-07,XLIN01,JD,10.0
2017-08-07,XLIN01,KO,14.0
2017-08-07,XLIN01,KR,45.0
2017-08-07,XLIN01,TWTR,29.0
2017-08-08,XLIN01,CMG,1.0
2017-08-08,XLIN01,EBAY,10.0
2017-08-08,XLIN01,INTU,2.0
2017-08-08,XLIN01,JD,10.0
2017-08-08,XLIN01,KO,14.0
2017-08-08,XLIN01,KR,45.0
2017-08-08,XLIN01,TWTR,29.0
2017-08-09,XLIN01,CMG,1.0
2017-08-09,XLIN01,EBAY,10.0
2017-08-09,XLIN01,INTU,2.0
2017-08-09,XLIN01,JD,10.0
2017-08-09,XLIN01,KO,14.0
2017-08-09,XLIN01,KR,45.0
2017-08-09,XLIN01,TWTR,29.0
2017-08-10,XLIN01,CMG,1.0
2017-08-10,XLIN01,EBAY,10.0
2017-08-10,XLIN01,INTU,2.0
2017-08-10,XLIN01,JD,10.0
2017-08-10,XLIN01,KO,14.0
2017-08-10,XLIN01,KR,45.0
2017-08-10,XLIN01,TWTR,29.0
2017-08-11,XLIN01,CMG,1.0
2017-08-11,XLIN01,EBAY,10.0
2017-08-11,XLIN01,INTU,2.0
2017-08-11,XLIN01,JD,10.0
2017-08-11,XLIN01,KO,14.0
2017-08-11,XLIN01,KR,45.0
2017-08-11,XLIN01,TWTR,29.0
2017-08-14,XLIN01,CMG,1.0
2017-08-14,XLIN01,EBAY,10.0
2017-08-14,XLIN01,INTU,2.0
2017-08-14,XLIN01,JD,10.0
2017-08-14,XLIN01,KO,14.0
2017-08-14,XLIN01,KR,45.0
2017-08-14,XLIN01,TWTR,29.0
2017-08-15,XLIN01,CMG,1.0
2017-08-15,XLIN01,EBAY,10.0
2017-08-15,XLIN01,INTU,2.0
2017-08-15,XLIN01,JD,10.0
2017-08-15,XLIN01,KO,14.0
2017-08-15,XLIN01,KR,45.0
2017-08-15,XLIN01,TWTR,29.0
2017-08-16,XLIN01,CMG,1.0
2017-08-16,XLIN01,EBAY,10.0
2017-08-16,XLIN01,INTU,2.0
2017-08-16,XLIN01,JD,10.0
2017-08-16,XLIN01,KO,14.0
2017-08-16,XLIN01,KR,45.0
2017-08-16,XLIN01,TWTR,29.0
2017-08-17,XLIN01,CMG,1.0
2017-08-17,XLIN01,EBAY,10.0
2017-08-17,XLIN01,INTU,2.0
2017-08-17,XLIN01,JD,10.0
2017-08-17,XLIN01,KO,14.0
2017-08-17,XLIN01,KR,45.0
2017-08-17,XLIN01,TWTR,29.0
2017-08-18,XLIN01,CMG,1.0
2017-08-18,XLIN01,EBAY,10.0
2017-08-18,XLIN01,INTU,2.0
2017-08-18,XLIN01,JD,10.0
2017-08-18,XLIN01,KO,14.0
2017-08-18,XLIN01,KR,45.0
2017-08-18,XLIN01,TWTR,29.0
2017-08-21,XLIN01,CMG,1.0
2017-08-21,XLIN01,EBAY,10.0
2017-08-21,XLIN01,INTU,2.0
2017-08-21,XLIN01,JD,10.0
2017-08-21,XLIN01,KO,14.0
2017-08-21,XLIN01,KR,45.0
2017-08-21,XLIN01,TWTR,29.0
2017-08-22,XLIN01,CMG,1.0
2017-08-22,XLIN01,EBAY,10.0
2017-08-22,XLIN01,INTU,2.0
2017-08-22,XLIN01,JD,10.0
2017-08-22,XLIN01,KO,14.0
2017-08-22,XLIN01,KR,45.0
2017-08-22,XLIN01,TWTR,29.0
2017-08-23,XLIN01,CMG,1.0
2017-08-23,XLIN01,EBAY,10.0
2017-08-23,XLIN01,INTU,2.0
2017-08-23,XLIN01,JD,10.0
2017-08-23,XLIN01,KO,14.0
2017-08-23,XLIN01,KR,45.0
2017-08-23,XLIN01,TWTR,29.0
2017-08-24,XLIN01,CMG,1.0
2017-08-24,XLIN01,EBAY,10.0
2017-08-24,XLIN01,INTU,2.0
2017-08-24,XLIN01,JD,10.0
2017-08-24,XLIN01,KO,14.0
2017-08-24,XLIN01,KR,45.0
2017-08-24,XLIN01,TWTR,29.0
2017-08-25,XLIN01,CMG,1.0
2017-08-25,XLIN01,EBAY,10.0
2017-08-25,XLIN01,INTU,2.0
2017-08-25,XLIN01,JD,10.0
2017-08-25,XLIN01,KO,14.0
2017-08-25,XLIN01,KR,45.0
2017-08-25,XLIN01,TWTR,29.0
2017-08-28,XLIN01,CMG,1.0
2017-08-28,XLIN01,EBAY,10.0
2017-08-28,XLIN01,INTU,2.0
2017-08-28,XLIN01,JD,10.0
2017-08-28,XLIN01,KO,14.0
2017-08-28,XLIN01,KR,45.0
2017-08-28,XLIN01,TWTR,29.0
2017-08-29,XLIN01,CMG,1.0
2017-08-29,XLIN01,EBAY,10.0
2017-08-29,XLIN01,INTU,2.0
2017-08-29,XLIN01,JD,10.0
2017-08-29,XLIN01,KO,14.0
2017-08-29,XLIN01,KR,45.0
2017-08-29,XLIN01,TWTR,29.0
2017-08-30,XLIN01,CMG,1.0
2017-08-30,XLIN01,EBAY,10.0
2017-08-30,XLIN01,INTU,2.0
2017-08-30,XLIN01,JD,10.0
2017-08-30,XLIN01,KO,14.0
2017-08-30,XLIN01,KR,45.0
2017-08-30,XLIN01,TWTR,29.0
2017-08-31,XLIN01,CMG,1.0
2017-08-31,XLIN01,EBAY,10.0
2017-08-31,XLIN01,INTU,2.0
2017-08-31,XLIN01,JD,10.0
2017-08-31,XLIN01,KO,14.0
2017-08-31,XLIN01,KR,45.0
2017-08-31,XLIN01,TWTR,29.0
2017-09-01,XLIN01,CMG,1.0
2017-09-01,XLIN01,EBAY,10.0
2017-09-01,XLIN01,INTU,2.0
2017-09-01,XLIN01,JD,10.0
2017-09-01,XLIN01,KO,14.0
2017-09-01,XLIN01,KR,45.0
2017-09-01,XLIN01,TWTR,29.0
2017-09-04,XLIN01,CMG,1.0
2017-09-04,XLIN01,EBAY,10.0
2017-09-04,XLIN01,INTU,2.0
2017-09-04,XLIN01,JD,10.0
2017-09-04,XLIN01,KO,14.0
2017-09-04,XLIN01,KR,45.0
2017-09-04,XLIN01,TWTR,29.0
2017-09-05,XLIN01,CMG,1.0
2017-09-05,XLIN01,EBAY,10.0
2017-09-05,XLIN01,INTU,2.0
2017-09-05,XLIN01,JD,10.0
2017-09-05,XLIN01,KO,14.0
2017-09-05,XLIN01,KR,45.0
2017-09-05,XLIN01,TWTR,29.0
2017-09-06,XLIN01,CMG,1.0
2017-09-06,XLIN01,EBAY,10.0
2017-09-06,XLIN01,INTU,2.0
2017-09-06,XLIN01,JD,10.0
2017-09-06,XLIN01,KO,14.0
2017-09-06,XLIN01,KR,45.0
2017-09-06,XLIN01,TWTR,29.0
2017-09-07,XLIN01,CMG,1.0
2017-09-07,XLIN01,EBAY,10.0
2017-09-07,XLIN01,INTU,2.0
2017-09-07,XLIN01,JD,10.0
2017-09-07,XLIN01,KO,14.0
2017-09-07,XLIN01,KR,45.0
2017-09-07,XLIN01,TWTR,29.0
2017-09-08,XLIN01,CMG,1.0
2017-09-08,XLIN01,EBAY,10.0
2017-09-08,XLIN01,INTU,2.0
2017-09-08,XLIN01,JD,10.0
2017-09-08,XLIN01,KO,14.0
2017-09-08,XLIN01,KR,45.0
2017-09-08,XLIN01,TWTR,29.0
2017-09-11,XLIN01,CMG,1.0
2017-09-11,XLIN01,EBAY,10.0
2017-09-11,XLIN01,INTU,2.0
2017-09-11,XLIN01,JD,10.0
2017-09-11,XLIN01,KO,14.0
2017-09-11,XLIN01,KR,45.0
2017-09-11,XLIN01,TWTR,29.0
2017-09-12,XLIN01,CMG,1.0
2017-09-12,XLIN01,EBAY,10.0
2017-09-12,XLIN01,INTU,2.0
2017-09-12,XLIN01,JD,10.0
2017-09-12,XLIN01,KO,14.0
2017-09-12,XLIN01,KR,45.0
2017-09-12,XLIN01,TWTR,29.0
2017-09-13,XLIN01,CMG,1.0
2017-09-13,XLIN01,EBAY,10.0
2017-09-13,XLIN01,INTU,2.0
2017-09-13,XLIN01,JD,10.0
2017-09-13,XLIN01,KO,14.0
2017-09-13,XLIN01,KR,45.0
2017-09-13,XLIN01,TWTR,29.0
2017-09-14,XLIN01,CMG,1.0
2017-09-14,XLIN01,EBAY,10.0
2017-09-14,XLIN01,INTU,2.0
2017-09-14,XLIN01,JD,10.0
2017-09-14,XLIN01,KO,14.0
2017-09-14,XLIN01,KR,45.0
2017-09-14,XLIN01,TWTR,29.0
2017-09-15,XLIN01,CMG,1.0
2017-09-15,XLIN01,EBAY,10.0
2017-09-15,XLIN01,INTU,2.0
2017-09-15,XLIN01,JD,10.0
2017-09-15,XLIN01,KO,14.0
2017-09-15,XLIN01,KR,45.0
2017-09-15,XLIN01,TWTR,29.0
2017-09-18,XLIN01,CMG,1.0
2017-09-18,XLIN01,EBAY,10.0
2017-09-18,XLIN01,INTU,2.0
2017-09-18,XLIN01,JD,10.0
2017-09-18,XLIN01,KO,14.0
2017-09-18,XLIN01,KR,45.0
2017-09-18,XLIN01,TWTR,29.0
2017-09-19,XLIN01,CMG,1.0
2017-09-19,XLIN01,EBAY,10.0
2017-09-19,XLIN01,INTU,2.0
2017-09-19,XLIN01,JD,10.0
2017-09-19,XLIN01,KO,14.0
2017-09-19,XLIN01,KR,45.0
2017-09-19,XLIN01,TWTR,29.0
2017-09-20,XLIN01,CMG,1.0
2017-09-20,XLIN01,EBAY,10.0
2017-09-20,XLIN01,INTU,2.0
2017-09-20,XLIN01,JD,10.0
2017-09-20,XLIN01,KO,14.0
2017-09-20,XLIN01,KR,45.0
2017-09-20,XLIN01,TWTR,29.0
2017-09-21,XLIN01,CMG,1.0
2017-09-21,XLIN01,EBAY,10.0
2017-09-21,XLIN01,INTU,2.0
2017-09-21,XLIN01,JD,10.0
2017-09-21,XLIN01,KO,14.0
2017-09-21,XLIN01,KR,45.0
2017-09-21,XLIN01,TWTR,29.0
2017-09-22,XLIN01,CMG,1.0
2017-09-22,XLIN01,EBAY,10.0
2017-09-22,XLIN01,INTU,2.0
2017-09-22,XLIN01,JD,10.0
2017-09-22,XLIN01,KO,14.0
2017-09-22,XLIN01,KR,45.0
2017-09-22,XLIN01,TWTR,29.0
2017-09-25,XLIN01,CMG,1.0
2017-09-25,XLIN01,EBAY,10.0
2017-09-25,XLIN01,INTU,2.0
2017-09-25,XLIN01,JD,10.0
2017-09-25,XLIN01,KO,14.0
2017-09-25,XLIN01,KR,45.0
2017-09-25,XLIN01,TWTR,29.0
2017-09-26,XLIN01,CMG,1.0
2017-09-26,XLIN01,EBAY,10.0
2017-09-26,XLIN01,INTU,2.0
2017-09-26,XLIN01,JD,10.0
2017-09-26,XLIN01,KO,14.0
2017-09-26,XLIN01,KR,45.0
2017-09-26,XLIN01,TWTR,29.0
2017-09-27,XLIN01,CMG,1.0
2017-09-27,XLIN01,EBAY,10.0
2017-09-27,XLIN01,INTU,2.0
2017-09-27,XLIN01,JD,10.0
2017-09-27,XLIN01,KO,14.0
2017-09-27,XLIN01,KR,45.0
2017-09-27,XLIN01,TWTR,29.0
2017-09-28,XLIN01,CMG,1.0
2017-09-28,XLIN01,EBAY,10.0
2017-09-28,XLIN01,INTU,2.0
2017-09-28,XLIN01,JD,10.0
2017-09-28,XLIN01,KO,14.0
2017-09-28,XLIN01,KR,45.0
2017-09-28,XLIN01,TWTR,29.0
2017-09-29,XLIN01,CMG,1.0
2017-09-29,XLIN01,EBAY,10.0
2017-09-29,XLIN01,INTU,2.0
2017-09-29,XLIN01,JD,10.0
2017-09-29,XLIN01,KO,14.0
2017-09-29,XLIN01,KR,45.0
2017-09-29,XLIN01,TWTR,29.0
2017-10-02,XLIN01,CMG,1.0
2017-10-02,XLIN01,EBAY,10.0
2017-10-02,XLIN01,INTU,2.0
2017-10-02,XLIN01,JD,10.0
2017-10-02,XLIN01,KO,14.0
2017-10-02,XLIN01,KR,45.0
2017-10-02,XLIN01,TWTR,29.0
2017-10-03,XLIN01,CMG,1.0
2017-10-03,XLIN01,EBAY,10.0
2017-10-03,XLIN01,INTU,2.0
2017-10-03,XLIN01,JD,10.0
2017-10-03,XLIN01,KO,14.0
2017-10-03,XLIN01,KR,45.0
2017-10-03,XLIN01,TWTR,29.0
2017-10-04,XLIN01,CMG,1.0
2017-10-04,XLIN01,EBAY,10.0
2017-10-04,XLIN01,INTU,2.0
2017-10-04,XLIN01,JD,10.0
2017-10-04,XLIN01,KO,14.0
2017-10-04,XLIN01,KR,45.0
2017-10-04,XLIN01,TWTR,29.0
2017-10-05,XLIN01,CMG,1.0
2017-10-05,XLIN01,EBAY,10.0
2017-10-05,XLIN01,INTU,2.0
2017-10-05,XLIN01,JD,10.0
2017-10-05,XLIN01,KO,14.0
2017-10-05,XLIN01,KR,45.0
2017-10-05,XLIN01,TWTR,29.0
2017-10-06,XLIN01,CMG,1.0
2017-10-06,XLIN01,EBAY,10.0
2017-10-06,XLIN01,INTU,2.0
2017-10-06,XLIN01,JD,10.0
2017-10-06,XLIN01,KO,14.0
2017-10-06,XLIN01,KR,45.0
2017-10-06,XLIN01,TWTR,29.0
2017-10-09,XLIN01,CMG,1.0
2017-10-09,XLIN01,EBAY,10.0
2017-10-09,XLIN01,INTU,2.0
2017-10-09,XLIN01,JD,10.0
2017-10-09,XLIN01,KO,14.0
2017-10-09,XLIN01,KR,45.0
2017-10-09,XLIN01,TWTR,29.0
2017-10-10,XLIN01,CMG,1.0
2017-10-10,XLIN01,EBAY,10.0
2017-10-10,XLIN01,INTU,2.0
2017-10-10,XLIN01,JD,10.0
2017-10-10,XLIN01,KO,14.0
2017-10-10,XLIN01,KR,45.0
2017-10-10,XLIN01,TWTR,29.0
2017-10-11,XLIN01,CMG,1.0
2017-10-11,XLIN01,EBAY,10.0
2017-10-11,XLIN01,INTU,2.0
2017-10-11,XLIN01,JD,10.0
2017-10-11,XLIN01,KO,14.0
2017-10-11,XLIN01,KR,45.0
2017-10-11,XLIN01,TWTR,29.0
2017-10-12,XLIN01,CMG,1.0
2017-10-12,XLIN01,EBAY,10.0
2017-10-12,XLIN01,INTU,2.0
2017-10-12,XLIN01,JD,10.0
2017-10-12,XLIN01,KO,14.0
2017-10-12,XLIN01,KR,45.0
2017-10-12,XLIN01,TWTR,29.0
2017-10-13,XLIN01,CMG,1.0
2017-10-13,XLIN01,EBAY,10.0
2017-10-13,XLIN01,INTU,2.0
2017-10-13,XLIN01,JD,10.0
2017-10-13,XLIN01,KO,14.0
2017-10-13,XLIN01,KR,45.0
2017-10-13,XLIN01,TWTR,29.0
2017-10-16,XLIN01,CMG,1.0
2017-10-16,XLIN01,EBAY,10.0
2017-10-16,XLIN01,INTU,2.0
2017-10-16,XLIN01,JD,10.0
2017-10-16,XLIN01,KO,14.0
2017-10-16,XLIN01,KR,45.0
2017-10-16,XLIN01,TWTR,29.0
2017-10-17,XLIN01,CMG,1.0
2017-10-17,XLIN01,EBAY,10.0
2017-10-17,XLIN01,INTU,2.0
2017-10-17,XLIN01,JD,10.0
2017-10-17,XLIN01,KO,14.0
2017-10-17,XLIN01,KR,45.0
2017-10-17,XLIN01,TWTR,29.0
2017-10-18,XLIN01,CMG,1.0
2017-10-18,XLIN01,EBAY,10.0
2017-10-18,XLIN01,INTU,2.0
2017-10-18,XLIN01,JD,10.0
2017-10-18,XLIN01,KO,14.0
2017-10-18,XLIN01,KR,45.0
2017-10-18,XLIN01,TWTR,29.0
2017-10-19,XLIN01,CMG,1.0
2017-10-19,XLIN01,EBAY,10.0
2017-10-19,XLIN01,INTU,2.0
2017-10-19,XLIN01,JD,10.0
2017-10-19,XLIN01,KO,14.0
2017-10-19,XLIN01,KR,45.0
2017-10-19,XLIN01,TWTR,29.0
2017-10-20,XLIN01,CMG,1.0
2017-10-20,XLIN01,EBAY,10.0
2017-10-20,XLIN01,INTU,2.0
2017-10-20,XLIN01,JD,10.0
2017-10-20,XLIN01,KO,14.0
2017-10-20,XLIN01,KR,45.0
2017-10-20,XLIN01,TWTR,29.0
2017-10-23,XLIN01,CMG,1.0
2017-10-23,XLIN01,EBAY,10.0
2017-10-23,XLIN01,INTU,2.0
2017-10-23,XLIN01,JD,10.0
2017-10-23,XLIN01,KO,14.0
2017-10-23,XLIN01,KR,45.0
2017-10-23,XLIN01,TWTR,29.0
2017-10-24,XLIN01,CMG,1.0
2017-10-24,XLIN01,EBAY,10.0
2017-10-24,XLIN01,INTU,2.0
2017-10-24,XLIN01,JD,10.0
2017-10-24,XLIN01,KO,14.0
2017-10-24,XLIN01,KR,45.0
2017-10-24,XLIN01,TWTR,29.0
2017-10-25,XLIN01,CMG,1.0
2017-10-25,XLIN01,EBAY,10.0
2017-10-25,XLIN01,INTU,2.0
2017-10-25,XLIN01,JD,10.0
2017-10-25,XLIN01,KO,14.0
2017-10-25,XLIN01,KR,45.0
2017-10-25,XLIN01,TWTR,29.0
2017-10-26,XLIN01,CMG,1.0
2017-10-26,XLIN01,EBAY,10.0
2017-10-26,XLIN01,INTU,2.0
2017-10-26,XLIN01,JD,10.0
2017-10-26,XLIN01,KO,14.0
2017-10-26,XLIN01,KR,45.0
2017-10-26,XLIN01,TWTR,29.0
2017-10-27,XLIN01,CMG,1.0
2017-10-27,XLIN01,EBAY,10.0
2017-10-27,XLIN01,INTU,2.0
2017-10-27,XLIN01,JD,10.0
2017-10-27,XLIN01,KO,14.0
2017-10-27,XLIN01,KR,45.0
2017-10-27,XLIN01,TWTR,29.0
2017-10-30,XLIN01,CMG,1.0
2017-10-30,XLIN01,EBAY,10.0
2017-10-30,XLIN01,INTU,2.0
2017-10-30,XLIN01,JD,10.0
2017-10-30,XLIN01,KO,14.0
2017-10-30,XLIN01,KR,45.0
2017-10-30,XLIN01,TWTR,29.0
2017-10-31,XLIN01,CMG,1.0
2017-10-31,XLIN01,EBAY,10.0
2017-10-31,XLIN01,INTU,2.0
2017-10-31,XLIN01,JD,10.0
2017-10-31,XLIN01,KO,14.0
2017-10-31,XLIN01,KR,45.0
2017-10-31,XLIN01,TWTR,29.0
2017-11-01,XLIN01,CMG,3.0
2017-11-01,XLIN01,EBAY,10.0
2017-11-01,XLIN01,INTU,2.0
2017-11-01,XLIN01,JD,10.0
2017-11-01,XLIN01,KO,14.0
2017-11-01,XLIN01,KR,45.0
2017-11-01,XLIN01,LQD,3.0
2017-11-01,XLIN01,TWTR,29.0
2017-11-02,XLIN01,CMG,3.0
2017-11-02,XLIN01,EBAY,10.0
2017-11-02,XLIN01,INTU,2.0
2017-11-02,XLIN01,JD,10.0
2017-11-02,XLIN01,KO,14.0
2017-11-02,XLIN01,KR,45.0
2017-11-02,XLIN01,LQD,3.0
2017-11-02,XLIN01,TWTR,29.0
2017-11-03,XLIN01,CMG,3.0
2017-11-03,XLIN01,EBAY,10.0
2017-11-03,XLIN01,INTU,2.0
2017-11-03,XLIN01,JD,10.0
2017-11-03,XLIN01,KO,14.0
2017-11-03,XLIN01,KR,45.0
2017-11-03,XLIN01,LQD,3.0
2017-11-03,XLIN01,TWTR,29.0
2017-11-06,XLIN01,CMG,3.0
2017-11-06,XLIN01,EBAY,10.0
2017-11-06,XLIN01,INTU,2.0
2017-11-06,XLIN01,JD,10.0
2017-11-06,XLIN01,KO,14.0
2017-11-06,XLIN01,KR,45.0
2017-11-06,XLIN01,LQD,8.0
2017-11-06,XLIN01,TWTR,29.0
2017-11-06,XLIN01,YUMC,15.0
2017-11-07,XLIN01,CMG,3.0
2017-11-07,XLIN01,EBAY,10.0
2017-11-07,XLIN01,INTU,2.0
2017-11-07,XLIN01,JD,10.0
2017-11-07,XLIN01,KO,14.0
2017-11-07,XLIN01,KR,45.0
2017-11-07,XLIN01,LQD,8.0
2017-11-07,XLIN01,TWTR,29.0
2017-11-07,XLIN01,YUMC,15.0
2017-11-08,XLIN01,CMG,3.0
2017-11-08,XLIN01,EBAY,10.0
2017-11-08,XLIN01,INTU,2.0
2017-11-08,XLIN01,JD,10.0
2017-11-08,XLIN01,KO,14.0
2017-11-08,XLIN01,KR,45.0
2017-11-08,XLIN01,LQD,8.0
2017-11-08,XLIN01,TWTR,29.0
2017-11-08,XLIN01,YUMC,15.0
2017-11-09,XLIN01,CMG,3.0
2017-11-09,XLIN01,EBAY,10.0
2017-11-09,XLIN01,INTU,2.0
2017-11-09,XLIN01,JD,10.0
2017-11-09,XLIN01,KO,14.0
2017-11-09,XLIN01,KR,45.0
2017-11-09,XLIN01,LQD,8.0
2017-11-09,XLIN01,TWTR,29.0
2017-11-09,XLIN01,YUMC,15.0
2017-11-10,XLIN01,CMG,3.0
2017-11-10,XLIN01,EBAY,10.0
2017-11-10,XLIN01,INTU,2.0
2017-11-10,XLIN01,JD,10.0
2017-11-10,XLIN01,KO,14.0
2017-11-10,XLIN01,KR,45.0
2017-11-10,XLIN01,LQD,8.0
2017-11-10,XLIN01,SQ,10.0
2017-11-10,XLIN01,TWTR,29.0
2017-11-10,XLIN01,YUMC,15.0
2017-11-13,XLIN01,CMG,3.0
2017-11-13,XLIN01,EBAY,10.0
2017-11-13,XLIN01,INTU,2.0
2017-11-13,XLIN01,JD,10.0
2017-11-13,XLIN01,KO,14.0
2017-11-13,XLIN01,KR,45.0
2017-11-13,XLIN01,LQD,8.0
2017-11-13,XLIN01,SQ,10.0
2017-11-13,XLIN01,TWTR,29.0
2017-11-13,XLIN01,YUMC,15.0
2017-11-14,XLIN01,CMG,3.0
2017-11-14,XLIN01,EBAY,10.0
