tradeday,account,ticker,attr
2017-06-16,XLIN01,JD,-0.0018
2017-06-16,XLIN01,KR,0.0145
2017-06-19,XLIN01,JD,0.0155031105
2017-06-19,XLIN01,KR,0.008640268589
2017-06-20,XLIN01,JD,-0.008099117775
2017-06-20,XLIN01,KR,-0.006267174468
2017-06-21,XLIN01,JD,0.02142333089
2017-06-21,XLIN01,KR,-0.0002445585718
2017-06-22,XLIN01,JD,0.002299070792
2017-06-22,XLIN01,KR,0.004550244276
2017-06-23,XLIN01,JD,0.01541315827
2017-06-23,XLIN01,KR,0.0009514295229
2017-06-26,XLIN01,JD,0.001216943599
2017-06-26,XLIN01,KR,0.0002340276153
2017-06-27,XLIN01,JD,-0.02234062442
2017-06-27,XLIN01,KR,0.003739016639
2017-06-28,XLIN01,JD,0.005619582817
2017-06-28,XLIN01,KR,0.01381083913
2017-06-29,XLIN01,JD,-0.01663085116
2017-06-29,XLIN01,KR,-0.002569373073
2017-06-30,XLIN01,JD,-0.001366020246
2017-06-30,XLIN01,KR,0.0001951457495
2017-07-03,XLIN01,JD,-0.001758370577
2017-07-03,XLIN01,KR,0.005055315408
2017-07-04,XLIN01,JD,0
2017-07-04,XLIN01,KR,0
2017-07-05,XLIN01,JD,0.004381480941
2017-07-05,XLIN01,KR,-0.007010369505
2017-07-06,XLIN01,JD,-0.003172743691
2017-07-06,XLIN01,KO,0.0001952457656
2017-07-06,XLIN01,KR,-0.002196514863
2017-07-06,XLIN01,TWTR,-0.0003514423781
2017-07-07,XLIN01,JD,0.0005399090989
2017-07-07,XLIN01,KO,-4.91E-05
2017-07-07,XLIN01,KR,0.0006626157123
2017-07-07,XLIN01,TWTR,0.0004417438082
2017-07-10,XLIN01,JD,0.005880536893
2017-07-10,XLIN01,KO,-4.90E-05
2017-07-10,XLIN01,KR,-0.01212860734
2017-07-10,XLIN01,TWTR,0.0002646241602
2017-07-11,XLIN01,JD,0.001922773527
2017-07-11,XLIN01,KO,-0.0002465094265
2017-07-11,XLIN01,KR,0.0004437169677
2017-07-11,XLIN01,TWTR,0.002484815019
2017-07-12,XLIN01,EBAY,-0.0001197778976
2017-07-12,XLIN01,INTU,9.84E-05
2017-07-12,XLIN01,JD,0.002695002695
2017-07-12,XLIN01,KO,0.00077000077
2017-07-12,XLIN01,KR,0.003272503273
2017-07-12,XLIN01,TWTR,0.002348502349
2017-07-13,XLIN01,EBAY,0.0007969985374
2017-07-13,XLIN01,INTU,-0.0004578502236
2017-07-13,XLIN01,JD,-4.24E-05
2017-07-13,XLIN01,KO,-0.0003391483138
2017-07-13,XLIN01,KR,0.002289251118
2017-07-13,XLIN01,TWTR,0.0002670792971
2017-07-14,XLIN01,EBAY,0.0007210255201
2017-07-14,XLIN01,INTU,0.0001247928785
2017-07-14,XLIN01,JD,0.002010551931
2017-07-14,XLIN01,KO,0.0009359465886
2017-07-14,XLIN01,KR,0.001403919883
2017-07-14,XLIN01,TWTR,0.0009983430279
